,Course,College,Year Level,School Year,No.,Appno,SCHOOL,Cntr,Date,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,Word,SY
1692,BS ABE,COE,1,2018-2019,6003.0,1819-09912,MALANGAS-ESU,LAN,3/25/2018,23.4,25.06,18.75,34.54,53.29,22.97,Twenty Two Point Ninety Seven,2018-2019
1693,BS ABE,COE,1,2018-2019,7808.0,1920-11909,MALANGAS-ESU,LAN,12/9/2018,52.9,35.7,18.75,18.16,33.69,34.82,Thirty Four Point Eighty Two,2019-2020
1694,BS ABE,COE,1,2018-2019,8065.0,2021-13745,MALANGAS-ESU,LAN,2/15/2020,61.05,48.4,44.12,24.91,43.49,51.42,Fifty One Point Forty Two,2020-2021
1695,BS ABE,COE,1,2018-2019,6584.0,1819-05933,BACONG NATIONAL HIGH SCHOOL,ZAM,3/4/2018,70.75,42.05,44.12,75.28,72.9,66.95,Sixty Six Point Ninety Five,2018-2019
1696,BS ABE,COE,1,2018-2019,6811.0,1819-09911,MALANGAS INSTITUTE,LAN,3/25/2018,44.05,66.85,36.55,70.61,43.49,52.87,Fifty Two Point Eighty Seven,2018-2019
1697,BS ABE,COE,1,2018-2019,9122.0,2021-13749,MALANGAS-ESU,LAN,2/15/2020,52.9,42.05,44.12,79.96,53.29,57.2,Fifty Seven Point Twenty,2020-2021
1698,BS ABE,COE,1,2018-2019,7162.0,1819-08137,DIPLAHAN NATIONAL HIGH SCHOOL,PLA,3/17/2018,61.05,82.26,13.15,63.45,26.06,55.76,Fifty Five Point Seventy Six,2018-2019
1699,BS ABE,COE,1,2018-2019,9582.0,2021-13695,MALANGAS-ESU,LAN,2/16/2020,80.58,66.85,44.12,34.54,63.1,70.3,Seventy Point Thirty,2020-2021
1700,BS ABE,COE,1,2018-2019,7260.0,1819-09856,MALANGAS NATIONAL HIGH SCHOOL,LAN,3/25/2018,13.4,35.7,4.27,14.31,4.24,5.27,Five Point Twenty Seven,2018-2019
1701,BS ABE,COE,1,2018-2019,9335.0,1920-11940,MALANGAS-ESU,LAN,12/9/2018,25.99,5.49,24.36,24.91,15.15,11.5,Eleven Point Fifty,2019-2020
1702,BS ABE,COE,1,2018-2019,9717.0,2021-13612,MALANGAS-ESU,LAN,2/15/2020,44.05,6.94,18.75,63.45,15.15,24.42,Twenty Four Point Forty Two,2020-2021
1703,BS ABE,COE,1,2018-2019,7262.0,1819-08220,DIPLAHAN NATIONAL HIGH SCHOOL,PLA,3/17/2018,68.5,42.05,44.12,70.61,72.9,64.72,Sixty Four Point Seventy Two,2018-2019
1704,BS ABE,COE,1,2018-2019,9440.0,1920-11817,MALANGAS-ESU,LAN,12/9/2018,9.69,2.6,29.96,14.31,43.49,5.27,Five Point Twenty Seven,2019-2020
1705,BS ABE,COE,1,2018-2019,9812.0,2021-13646,MALANGAS-ESU,LAN,2/16/2020,15.62,30.03,29.96,44.18,33.69,21.51,Twenty One Point Fifty One,2020-2021
1706,BS ABE,COE,1,2018-2019,7360.0,1819-00329,REGIONAL SCIENCE HIGH SCHOOL,ZAM,2/18/2018,90.77,82.26,89.19,79.96,98.34,93.22,Ninety Three Point Twenty Two,2018-2019
1707,BS ABE,COE,1,2018-2019,7479.0,1819-10006,MALANGAS NATIONAL HIGH SCHOOL,LAN,3/25/2018,0.32,20.09,13.15,34.54,33.69,1.36,One Point Thirty Six,2018-2019
1708,BS ABE,COE,1,2018-2019,9962.0,2021-13719,MALANGAS-ESU,LAN,2/16/2020,44.05,5.49,13.15,18.16,33.69,18.6,Eighteen Point Sixty,2020-2021
1709,BS ABE,COE,1,2018-2019,10154.0,2122-10819,MALANGAS-ESU,LAN,2/28/2021,9.69,66.85,4.27,18.16,53.29,17.15,Seventeen Point Fifteen,2021-2022
1710,BS ABE,COE,1,2018-2019,7556.0,1819-12909,DAWA DAWA NATIONAL HIGH SCHOOL,MAB,4/15/2018,52.9,61.11,76.79,18.16,63.1,58.64,Fifty Eight Point Sixty Four,2018-2019
1711,BS ABE,COE,1,2018-2019,7708.0,1819-09815,MALANGAS INSTITUTE,LAN,3/24/2018,4.68,6.94,18.75,24.91,15.15,3.53,Three Point Fifty Three,2018-2019
1712,BS ABE,COE,1,2018-2019,9873.0,1920-11809,MALANGAS-ESU,LAN,12/9/2018,5.98,20.09,59.25,24.91,33.69,14.78,Fourteen Point Seventy Eight,2019-2020
1713,BS ABE,COE,1,2018-2019,7776.0,1819-05919,KABASALAN SCIENCE & TECHNOLOGY HIGH SCHOOL,ZAM,3/4/2018,74.8,61.11,94.84,95.71,53.29,85.57,Eighty Five Point Fifty Seven,2018-2019
1714,BS ABE,COE,1,2018-2019,9979.0,1920-11905,MALANGAS-ESU,LAN,12/9/2018,37.99,2.6,72.66,0.73,53.29,21.51,Twenty One Point Fifty One,2019-2020
1715,BS ABE,COE,1,2018-2019,10373.0,2021-13738,MALANGAS-ESU,LAN,2/15/2020,20.81,20.09,76.79,75.28,26.06,36.36,Thirty Six Point Thirty Six,2020-2021
1716,BS ABE,COE,1,2018-2019,8741.0,1819-09831,MALANGAS-ESU,LAN,3/24/2018,37.99,30.03,29.96,34.54,15.15,27.33,Twenty Seven Point Thirty Three,2018-2019
1717,BS ABE,COE,1,2018-2019,11255.0,1920-11679,MALANGAS-ESU,LAN,12/9/2018,13.4,20.09,44.12,18.16,53.29,18.6,Eighteen Point Sixty,2019-2020
1718,BS ABE,COE,1,2018-2019,11629.0,2021-13602,MALANGAS-ESU,LAN,2/15/2020,41.05,48.4,36.55,24.91,79.78,45.6,Forty Five Point Sixty,2020-2021
1719,BS ABE,COE,1,2018-2019,9078.0,1819-04782,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,ZAM,3/4/2018,61.05,87.4,66.81,24.91,63.1,66.95,Sixty Six Point Ninety Five,2018-2019
1720,BS ABE,COE,1,2018-2019,11836.0,1920-11943,MALANGAS-ESU,LAN,12/9/2018,83.47,82.26,29.96,94.54,72.9,83.5,Eighty Three Point Fifty,2019-2020
1721,BS ABE,COE,1,2018-2019,12271.0,1920-11927,MALANGAS-ESU,LAN,12/9/2018,61.05,82.26,44.12,89.31,83.75,75.16,Seventy Five Point Sixteen,2019-2020
1722,BS ABE,COE,1,2018-2019,9576.0,1819-10010,MALANGAS INSTITUTE,LAN,3/25/2018,25.99,25.06,51.68,44.18,4.24,22.97,Twenty Two Point Ninety Seven,2018-2019
1723,BS ABE,COE,1,2018-2019,12307.0,1920-11724,MALANGAS-ESU,LAN,12/8/2018,61.05,30.03,51.68,63.45,53.29,55.76,Fifty Five Point Seventy Six,2019-2020
1724,BS ABE,COE,1,2018-2019,9650.0,1819-06054,IPIL NATIONAL HIGH SCHOOL,ZAM,3/11/2018,94.81,71.99,97.72,84.63,72.9,93.85,Ninety Three Point Eighty Five,2018-2019
1725,BS ABE,COE,1,2018-2019,9719.0,1819-02049,PILAR COLLEGE,ZAM,2/25/2018,58.56,77.12,91.97,93.38,53.29,79.72,Seventy Nine Point Seventy Two,2018-2019
1726,BS ABE,COE,1,2018-2019,13327.0,2021-13773,MALANGAS-ESU,LAN,2/16/2020,37.99,48.4,3.34,44.18,26.06,27.33,Twenty Seven Point Thirty Three,2020-2021
1727,BS ABE,COE,1,2018-2019,10139.0,1819-00641,NONE,ZAM,2/18/2018,99.32,94.82,80.93,75.28,97.87,97.46,Ninety Seven Point Forty Six,2018-2019
1728,BS ABE,COE,1,2018-2019,14133.0,2021-13605,MALANGAS-ESU,LAN,2/15/2020,34.94,66.85,13.15,53.82,43.49,39.44,Thirty Nine Point Forty Four,2020-2021
1729,BS ABE,COE,1,2018-2019,14415.0,2122-11100,MALANGAS-ESU,PLA,3/14/2021,47.0,30.03,29.96,34.54,53.29,39.44,Thirty Nine Point Forty Four,2021-2022
1730,BS ABE,COE,1,2018-2019,10618.0,1819-09842,MALANGAS INSTITUTE,LAN,3/24/2018,11.54,15.12,44.12,34.54,1.06,8.22,Eight Point Twenty Two,2018-2019
1731,BS ABE,COE,1,2018-2019,13690.0,1920-11820,MALANGAS-ESU,LAN,12/9/2018,55.84,5.49,13.15,53.82,63.1,34.82,Thirty Four Point Eighty Two,2019-2020
1732,BS ABE,COE,1,2018-2019,14238.0,2021-13704,MALANGAS-ESU,LAN,2/16/2020,37.99,42.05,18.75,34.54,53.29,34.82,Thirty Four Point Eighty Two,2020-2021
1733,BS ABE,COE,1,2018-2019,10679.0,1819-09998,MALANGAS NATIONAL HIGH SCHOOL,LAN,3/25/2018,87.6,90.94,89.19,53.82,72.9,87.64,Eighty Seven Point Sixty Four,2018-2019
1734,BS ABE,COE,1,2018-2019,10703.0,1819-04461,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/4/2018,58.56,71.99,72.66,70.61,79.78,71.42,Seventy One Point Forty Two,2018-2019
1735,BS ABE,COE,1,2018-2019,10707.0,1819-09829,MALANGAS-ESU,LAN,3/24/2018,55.84,71.99,29.96,63.45,63.1,60.09,Sixty Point Nine,2018-2019
1736,BS ABE,COE,1,2018-2019,11151.0,1819-09958,MALANGAS-ESU,LAN,3/24/2018,86.35,66.85,51.68,92.22,15.15,77.9,Seventy Seven Point Ninety,2018-2019
1737,BS ABE,COE,1,2018-2019,12277.0,1819-09818,ST. PAUL SCHOOL,LAN,3/24/2018,4.68,54.75,3.34,10.45,20.6,4.83,Four Point Eighty Three,2018-2019
1738,BS ABE,COE,1,2018-2019,15755.0,1920-11798,MALANGAS-ESU,LAN,12/9/2018,9.69,54.75,24.36,14.31,63.1,20.06,Twenty Point Six,2019-2020
1739,BS ABE,COE,1,2018-2019,16457.0,2021-13769,MALANGAS-ESU,LAN,2/16/2020,76.83,48.4,18.75,53.82,43.49,60.09,Sixty Point Nine,2020-2021
1740,BS ABE,COE,1,2018-2019,12541.0,1819-12916,DAWA DAWA NATIONAL HIGH SCHOOL,MAB,4/15/2018,34.94,71.99,66.81,53.82,63.1,55.76,Fifty Five Point Seventy Six,2018-2019
1741,BS ABE,COE,1,2018-2019,12780.0,1819-09928,MALANGAS NATIONAL HIGH SCHOOL,LAN,3/25/2018,23.4,30.03,36.55,63.45,53.29,33.28,Thirty Three Point Twenty Eight,2018-2019
1742,BS ABE,COE,1,2018-2019,16396.0,1920-11904,MALANGAS-ESU,LAN,12/9/2018,20.81,30.03,36.55,18.16,53.29,24.42,Twenty Four Point Forty Two,2019-2020
1743,BS ABE,COE,1,2018-2019,17059.0,2021-13657,MALANGAS-ESU,LAN,2/16/2020,55.84,30.03,80.93,53.82,63.1,60.09,Sixty Point Nine,2020-2021
1744,BS ABE,COE,1,2018-2019,12784.0,1819-09877,MALANGAS INSTITUTE,LAN,3/25/2018,20.81,25.06,24.36,53.82,53.29,25.88,Twenty Five Point Eighty Eight,2018-2019
1745,BS ABE,COE,1,2018-2019,16402.0,1920-11877,MALANGAS-ESU,LAN,12/9/2018,34.94,2.6,13.15,6.59,15.15,6.03,Six Point Three,2019-2020
1746,BS ABE,COE,1,2018-2019,17062.0,2021-13599,MALANGAS-ESU,LAN,2/15/2020,25.99,10.15,7.54,34.54,4.24,9.31,Nine Point Thirty One,2020-2021
1747,BS ABE,COE,1,2018-2019,12804.0,1819-09935,MALANGAS NATIONAL HIGH SCHOOL,LAN,3/25/2018,18.21,35.7,29.96,18.16,26.06,18.6,Eighteen Point Sixty,2018-2019
1748,BS ABE,COE,1,2018-2019,16435.0,1920-11916,MALANGAS-ESU,LAN,12/9/2018,28.82,15.12,29.96,14.31,20.6,15.87,Fifteen Point Eighty Seven,2019-2020
1749,BS ABE,COE,1,2018-2019,17099.0,2021-13658,MALANGAS-ESU,LAN,2/16/2020,37.99,42.05,29.96,63.45,53.29,42.52,Forty Two Point Fifty Two,2020-2021
1750,BS ABE,COE,1,2018-2019,16557.0,1920-11801,MALANGAS-ESU,LAN,12/9/2018,11.54,2.6,24.36,6.59,1.06,1.1,One Point Ten,2019-2020
1751,BS ABE,COE,1,2018-2019,17226.0,2021-13770,MALANGAS-ESU,LAN,2/16/2020,55.84,6.94,24.36,10.45,63.1,30.24,Thirty Point Twenty Four,2020-2021
1752,BS ABE,COE,1,2018-2019,12922.0,1819-09910,NONE,LAN,3/25/2018,3.94,6.94,24.36,6.59,43.49,3.53,Three Point Fifty Three,2018-2019
1753,BS ABE,COE,1,2018-2019,16601.0,1920-11901,MALANGAS-ESU,LAN,12/9/2018,9.69,25.06,59.25,70.61,20.6,22.97,Twenty Two Point Ninety Seven,2019-2020
1754,BS ABE,COE,1,2018-2019,17275.0,2021-13659,MALANGAS-ESU,LAN,2/16/2020,28.82,35.7,13.15,18.16,26.06,20.06,Twenty Point Six,2020-2021
1755,BS ABE,COE,1,2018-2019,16763.0,1920-11653,MALANGAS-ESU,LAN,12/9/2018,18.21,54.75,44.12,24.91,33.69,28.79,Twenty Eight Point Seventy Nine,2019-2020
1756,BS ABE,COE,1,2018-2019,17439.0,2021-13763,MALANGAS-ESU,LAN,2/16/2020,18.21,25.06,4.27,34.54,43.49,14.78,Fourteen Point Seventy Eight,2020-2021
1757,BS ABE,COE,1,2018-2019,16805.0,1920-11670,MALANGAS-ESU,LAN,12/9/2018,31.88,48.4,18.75,34.54,33.69,30.24,Thirty Point Twenty Four,2019-2020
1758,BS ABE,COE,1,2018-2019,17492.0,2021-13676,MALANGAS-ESU,LAN,2/16/2020,23.4,30.03,59.25,18.16,63.1,31.74,Thirty One Point Seventy Four,2020-2021
1759,BS ABE,COE,1,2018-2019,17854.0,2122-10678,MALANGAS-ESU,LAN,2/28/2021,52.9,42.05,4.27,14.31,20.6,27.33,Twenty Seven Point Thirty Three,2021-2022
1760,BS ABE,COE,1,2018-2019,13098.0,1819-00346,AYALA NATIONAL HIGH SCHOOL,ZAM,2/18/2018,66.01,90.94,89.19,92.22,98.81,89.17,Eighty Nine Point Seventeen,2018-2019
1761,BS CE,COE,1,2018-2019,88.0,1819-00807,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/18/2018,94.81,94.82,99.94,93.38,98.34,98.81,Ninety Eight Point Eighty One,2018-2019
1762,BS CE,COE,1,2018-2019,337.0,1819-01664,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/18/2018,96.08,94.82,94.84,97.62,97.87,98.05,Ninety Eight Point Five,2018-2019
1763,BS CE,COE,1,2018-2019,382.0,1819-05799,TORIBIO MINOR MEMORIAL NATIONAL HIGH SCHOOL,ZAM,3/4/2018,92.71,30.03,94.84,99.2,79.78,94.16,Ninety Four Point Sixteen,2018-2019
1764,BS CE,COE,1,2018-2019,469.0,1819-00817,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/18/2018,90.77,92.88,91.97,94.54,95.65,95.42,Ninety Five Point Forty Two,2018-2019
1765,BS CE,COE,1,2018-2019,476.0,1819-06219,CLARET COLLEGE OF ISABELA,ZAM,3/11/2018,91.83,92.88,91.97,24.91,72.9,89.17,Eighty Nine Point Seventeen,2018-2019
1766,BS CE,COE,1,2018-2019,590.0,1819-02114,PILAR COLLEGE,ZAM,2/25/2018,88.66,61.11,93.41,92.22,98.34,92.9,Ninety Two Point Ninety,2018-2019
1767,BS CE,COE,1,2018-2019,971.0,1819-02420,CLARET HIGH SCHOOL,ZAM,2/25/2018,70.75,61.11,59.25,53.82,79.78,70.3,Seventy Point Thirty,2018-2019
1768,BS CE,COE,1,2018-2019,1024.0,1819-07389,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,ZAM,3/11/2018,84.91,71.99,93.41,98.63,79.78,93.22,Ninety Three Point Twenty Two,2018-2019
1769,BS CE,COE,1,2018-2019,1089.0,1819-03127,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,87.6,96.76,89.19,94.54,91.68,94.48,Ninety Four Point Forty Eight,2018-2019
1770,BS CE,COE,1,2018-2019,1383.0,1819-02533,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,98.41,87.4,99.14,97.62,98.34,99.1,Ninety Nine Point Ten,2018-2019
1771,BS CE,COE,1,2019-2020,1383.0,1819-02533,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,98.41,87.4,99.14,97.62,98.34,99.1,Ninety Nine Point Ten,2018-2019
1772,BS CE,COE,1,2018-2019,1459.0,1819-02562,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,94.11,94.82,94.84,99.75,98.34,98.94,Ninety Eight Point Ninety Four,2018-2019
1773,BS CE,COE,1,2018-2019,1607.0,1819-03250,SOUTHERN CITY COLLEGES,ZAM,2/25/2018,93.41,71.99,89.19,95.71,91.68,94.48,Ninety Four Point Forty Eight,2018-2019
1774,BS CE,COE,1,2018-2019,1644.0,1819-02983,MONTESSORI DE ZAMBOANGA,ZAM,2/25/2018,90.77,87.4,85.06,63.45,87.72,90.13,Ninety Point Thirteen,2018-2019
1775,BS CE,COE,1,2018-2019,1742.0,1819-02943,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,98.17,87.4,97.72,94.54,97.87,98.18,Ninety Eight Point Eighteen,2018-2019
1776,BS CE,COE,1,2018-2019,1882.0,1819-02565,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,88.66,90.94,91.97,97.62,79.78,94.16,Ninety Four Point Sixteen,2018-2019
1777,BS CE,COE,1,2018-2019,2003.0,1819-06877,SOUTHERN CITY COLLEGES,ZAM,3/11/2018,97.39,99.7,96.28,99.34,79.78,99.04,Ninety Nine Point Four,2018-2019
1778,BS CE,COE,1,2018-2019,2394.0,1819-01667,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/18/2018,96.52,87.4,98.86,99.75,83.75,98.94,Ninety Eight Point Ninety Four,2018-2019
1779,BS CE,COE,1,2018-2019,2559.0,1819-07363,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,ZAM,3/11/2018,98.17,98.7,94.84,97.95,91.68,98.81,Ninety Eight Point Eighty One,2018-2019
1780,BS CE,COE,1,2018-2019,2818.0,1819-02245,PILAR COLLEGE,ZAM,2/25/2018,99.14,96.76,91.97,99.2,99.28,99.55,Ninety Nine Point Fifty Five,2018-2019
1781,BS CE,COE,1,2018-2019,2965.0,1819-03326,CLARET HIGH SCHOOL,ZAM,2/25/2018,98.9,90.94,97.72,95.71,87.72,98.43,Ninety Eight Point Forty Three,2018-2019
1782,BS CE,COE,1,2018-2019,3162.0,1819-02316,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/25/2018,87.6,90.94,94.84,93.38,98.34,95.1,Ninety Five Point Ten,2018-2019
1783,BS CE,COE,1,2018-2019,3164.0,1819-03328,CLARET HIGH SCHOOL,ZAM,2/25/2018,99.74,94.82,94.84,97.95,95.65,99.42,Ninety Nine Point Forty Two,2018-2019
1784,BS CE,COE,1,2018-2019,3506.0,1819-03181,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,58.56,87.4,94.84,98.97,43.49,87.64,Eighty Seven Point Sixty Four,2018-2019
1785,BS CE,COE,1,2018-2019,3605.0,1819-02079,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,ZAM,2/25/2018,61.05,54.75,96.28,98.29,83.75,86.95,Eighty Six Point Ninety Five,2018-2019
1786,BS CE,COE,1,2018-2019,3667.0,1819-01990,PILAR COLLEGE,ZAM,2/25/2018,89.71,82.26,85.06,97.95,91.68,94.48,Ninety Four Point Forty Eight,2018-2019
1787,BS CE,COE,1,2018-2019,3815.0,1819-01238,REGIONAL SCIENCE HIGH SCHOOL,ZAM,2/18/2018,88.66,96.76,99.14,99.2,87.72,97.92,Ninety Seven Point Ninety Two,2018-2019
1788,BS CE,COE,1,2018-2019,3893.0,1819-07508,MARIAN COLLEGE,ZAM,3/11/2018,78.85,94.82,89.19,93.38,87.72,91.08,Ninety One Point Eight,2018-2019
1789,BS CE,COE,1,2018-2019,4239.0,1819-03335,CLARET HIGH SCHOOL,ZAM,2/25/2018,98.17,96.76,66.81,89.31,87.72,96.17,Ninety Six Point Seventeen,2018-2019
1790,BS CE,COE,1,2018-2019,4349.0,1819-07350,JOSE RIZAL MEMORIAL STATE UNIVERSITY,ZAM,3/11/2018,93.41,87.4,98.86,98.97,79.78,97.46,Ninety Seven Point Forty Six,2018-2019
1791,BS CE,COE,1,2018-2019,4525.0,1819-02019,PILAR COLLEGE,ZAM,2/25/2018,88.66,61.11,93.41,96.87,53.29,90.6,Ninety Point Sixty,2018-2019
1792,BS CE,COE,1,2018-2019,4587.0,1819-07360,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,ZAM,3/11/2018,86.35,82.26,76.79,84.63,95.65,89.65,Eighty Nine Point Sixty Five,2018-2019
1793,BS CE,COE,1,2018-2019,4638.0,1819-03340,CLARET HIGH SCHOOL,ZAM,2/25/2018,97.83,98.7,97.72,92.22,79.78,97.8,Ninety Seven Point Eighty,2018-2019
1794,BS CE,COE,1,2018-2019,4821.0,1819-05003,TALON-TALON NATIONAL HIGH SCHOOL,ZAM,3/4/2018,80.58,87.4,89.19,92.22,87.72,89.65,Eighty Nine Point Sixty Five,2018-2019
1795,BS CE,COE,1,2018-2019,5100.0,1819-05226,CLARET COLLEGE OF ISABELA,ZAM,3/4/2018,88.66,94.82,98.58,99.2,97.87,97.92,Ninety Seven Point Ninety Two,2018-2019
1796,BS CE,COE,1,2018-2019,5225.0,1819-05794,TORIBIO MINOR MEMORIAL NATIONAL HIGH SCHOOL,ZAM,3/4/2018,82.02,90.94,44.12,79.96,83.75,83.5,Eighty Three Point Fifty,2018-2019
1797,BS CE,COE,1,2018-2019,5565.0,1819-02950,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,72.78,90.94,80.93,92.22,63.1,84.19,Eighty Four Point Nineteen,2018-2019
1798,BS CE,COE,1,2018-2019,5582.0,1819-07348,SAINT JOSEPH COLLEGE,ZAM,3/11/2018,84.91,82.26,89.19,98.29,43.49,91.08,Ninety One Point Eight,2018-2019
1799,BS CE,COE,1,2018-2019,5930.0,1819-03476,SOUTHERN CITY COLLEGES,ZAM,2/25/2018,74.8,71.99,85.06,92.22,79.78,84.19,Eighty Four Point Nineteen,2018-2019
1800,BS CE,COE,1,2018-2019,6113.0,1819-02549,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,83.47,87.4,93.41,93.38,63.1,90.13,Ninety Point Thirteen,2018-2019
1801,BS CE,COE,1,2018-2019,6179.0,1819-04601,SYSTEM TECHNOLOGY INSTITUTE,ZAM,3/4/2018,78.85,48.4,89.19,92.22,91.68,85.57,Eighty Five Point Fifty Seven,2018-2019
1802,BS CE,COE,1,2018-2019,6184.0,1819-07376,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,ZAM,3/11/2018,86.35,82.26,94.84,79.96,83.75,90.6,Ninety Point Sixty,2018-2019
1803,BS CE,COE,1,2018-2019,6255.0,1819-07160,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,ZAM,3/11/2018,88.66,96.76,66.81,84.63,79.78,90.13,Ninety Point Thirteen,2018-2019
1804,BS CE,COE,1,2018-2019,6258.0,1819-00853,REGIONAL SCIENCE HIGH SCHOOL,ZAM,2/18/2018,83.47,96.76,93.41,84.63,91.68,92.9,Ninety Two Point Ninety,2018-2019
1805,BS CE,COE,1,2018-2019,6400.0,1819-00952,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/18/2018,86.35,71.99,72.66,89.31,87.72,87.64,Eighty Seven Point Sixty Four,2018-2019
1806,BS CE,COE,1,2018-2019,6588.0,1819-03101,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,97.39,94.82,97.72,53.82,97.87,96.9,Ninety Six Point Ninety,2018-2019
1807,BS CE,COE,1,2018-2019,13123.0,1819-13243,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,4/15/2018,98.17,94.82,93.41,99.34,98.81,99.3,Ninety Nine Point Thirty,2018-2019
1808,BS CE,COE,1,2018-2019,6789.0,1819-06031,CLARET COLLEGE OF ISABELA,ZAM,3/11/2018,87.6,77.12,85.06,98.29,87.72,93.53,Ninety Three Point Fifty Three,2018-2019
1809,BS CE,COE,1,2018-2019,6926.0,1819-03184,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,78.85,61.11,85.06,63.45,91.68,82.12,Eighty Two Point Twelve,2018-2019
1810,BS CE,COE,1,2018-2019,7026.0,1819-06004,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,ZAM,3/11/2018,52.9,71.99,59.25,24.91,79.78,61.37,Sixty One Point Thirty Seven,2018-2019
1811,BS CE,COE,1,2018-2019,7031.0,1819-01662,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/18/2018,99.64,90.94,99.14,93.38,97.87,99.3,Ninety Nine Point Thirty,2018-2019
1812,BS CE,COE,1,2018-2019,7607.0,1819-05590,LUPON VOCATIONAL HIGH SCHOOL,ZAM,3/4/2018,82.02,71.99,94.84,75.28,72.9,86.26,Eighty Six Point Twenty Six,2018-2019
1813,BS CE,COE,1,2018-2019,7871.0,1819-05259,"BRENT HOSPITAL AND COLLEGES, INC.",ZAM,3/4/2018,86.35,82.26,80.93,79.96,79.78,87.64,Eighty Seven Point Sixty Four,2018-2019
1814,BS CE,COE,1,2018-2019,8266.0,1819-03185,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,97.83,96.76,98.58,98.97,91.68,99.17,Ninety Nine Point Seventeen,2018-2019
1815,BS CE,COE,1,2018-2019,8347.0,1819-00803,ATENEO DE ZAMBOANGA UNIVERSITY,ZAM,2/18/2018,96.08,92.88,97.72,94.54,91.68,97.46,Ninety Seven Point Forty Six,2018-2019
1816,BS CE,COE,1,2018-2019,8381.0,1819-03060,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,93.41,90.94,80.93,92.22,83.75,93.53,Ninety Three Point Fifty Three,2018-2019
1817,BS CE,COE,1,2018-2019,8437.0,1819-00436,BALIWASAN SENIOR HIGH SCHOOL WEST,ZAM,2/18/2018,84.91,77.12,98.58,96.87,83.75,93.85,Ninety Three Point Eighty Five,2018-2019
1818,BS CE,COE,1,2018-2019,8567.0,1819-02596,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,87.6,42.05,91.97,92.22,91.68,89.17,Eighty Nine Point Seventeen,2018-2019
1819,BS CE,COE,1,2018-2019,8644.0,1819-03479,SOUTHERN CITY COLLEGES,ZAM,2/25/2018,44.05,66.85,91.97,84.63,72.9,72.43,Seventy Two Point Forty Three,2018-2019
1820,BS CE,COE,1,2018-2019,8719.0,1819-04930,BASILAN NATIONAL HIGH SCHOOL,ZAM,3/4/2018,96.08,66.85,93.41,99.61,87.72,97.64,Ninety Seven Point Sixty Four,2018-2019
1821,BS CE,COE,1,2018-2019,8817.0,1819-06677,BASILAN NATIONAL HIGH SCHOOL,ZAM,3/11/2018,96.08,94.82,72.66,96.87,63.1,95.1,Ninety Five Point Ten,2018-2019
1822,BS CE,COE,1,2018-2019,8909.0,1819-02840,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,98.9,90.94,94.84,96.87,83.75,98.18,Ninety Eight Point Eighteen,2018-2019
1823,BS CE,COE,1,2018-2019,9040.0,1819-03264,WESTERN MINDANAO STATE UNIVERSITY,ZAM,2/25/2018,98.17,54.75,93.41,95.71,87.72,96.35,Ninety Six Point Thirty Five,2018-2019
1824,BS CE,COE,1,2018-2019,9118.0,1819-03731,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,ZAM,2/25/2018,82.02,94.82,51.68,79.96,72.9,84.19,Eighty Four Point Nineteen,2018-2019
